2021/01/17 01:40:51 [notice] 9340#1696: signal process started
2021/01/17 12:51:20 [error] 15076#11020: *89 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:20 [error] 15076#11020: *90 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:27 [error] 15076#11020: *93 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "127.0.0.1:8001", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:27 [error] 15076#11020: *93 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:27 [error] 15076#11020: *91 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "127.0.0.1:8000", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:27 [error] 15076#11020: *91 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:27 [error] 15076#11020: *95 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:59 [error] 15076#11020: *98 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "127.0.0.1:8001", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:59 [error] 15076#11020: *98 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:59 [error] 15076#11020: *96 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "127.0.0.1:8000", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:59 [error] 15076#11020: *96 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:59 [error] 15076#11020: *100 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:52:00 [error] 15076#11020: *101 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:52:00 [error] 15076#11020: *102 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
